timestamp,hour,day_of_week,is_weekend,is_event,day_type,energy_kwh
2025-12-12 11:53:23.623281,11,4,0,0,weekday,27.65
2025-12-12 12:53:23.623281,12,4,0,0,weekday,23.94
2025-12-12 13:53:23.623281,13,4,0,0,weekday,25.48
2025-12-12 14:53:23.623281,14,4,0,0,weekday,25.59
2025-12-12 15:53:23.623281,15,4,0,0,weekday,24.29
2025-12-12 16:53:23.623281,16,4,0,0,weekday,24.2
2025-12-12 17:53:23.623281,17,4,0,0,weekday,21.98
2025-12-12 18:53:23.623281,18,4,0,0,weekday,38.33
2025-12-12 19:53:23.623281,19,4,0,0,weekday,53.5
2025-12-12 20:53:23.623281,20,4,0,0,weekday,58.4
2025-12-12 21:53:23.623281,21,4,0,0,weekday,47.72
2025-12-12 22:53:23.623281,22,4,0,0,weekday,38.97
2025-12-12 23:53:23.623281,23,4,0,0,weekday,8.14
2025-12-13 00:53:23.623281,0,5,1,0,weekend,8.14
2025-12-13 01:53:23.623281,1,5,1,0,weekend,6.72
2025-12-13 02:53:23.623281,2,5,1,0,weekend,6.19
2025-12-13 03:53:23.623281,3,5,1,0,weekend,7.03
2025-12-13 04:53:23.623281,4,5,1,0,weekend,7.5
2025-12-13 05:53:23.623281,5,5,1,0,weekend,7.71
2025-12-13 06:53:23.623281,6,5,1,0,weekend,29.73
2025-12-13 07:53:23.623281,7,5,1,0,weekend,27.73
2025-12-13 08:53:23.623281,8,5,1,0,weekend,32.99
2025-12-13 09:53:23.623281,9,5,1,0,weekend,28.09
2025-12-13 10:53:23.623281,10,5,1,0,weekend,32.97
2025-12-13 11:53:23.623281,11,5,1,0,weekend,32.75
2025-12-13 12:53:23.623281,12,5,1,0,weekend,29.89
2025-12-13 13:53:23.623281,13,5,1,0,weekend,31.32
2025-12-13 14:53:23.623281,14,5,1,0,weekend,31.36
2025-12-13 15:53:23.623281,15,5,1,0,weekend,29.59
2025-12-13 16:53:23.623281,16,5,1,0,weekend,29.85
2025-12-13 17:53:23.623281,17,5,1,0,weekend,30.64
2025-12-13 18:53:23.623281,18,5,1,0,weekend,40.7
2025-12-13 19:53:23.623281,19,5,1,0,weekend,50.8
2025-12-13 20:53:23.623281,20,5,1,0,weekend,55.09
2025-12-13 21:53:23.623281,21,5,1,0,weekend,44.6
2025-12-13 22:53:23.623281,22,5,1,0,weekend,39.89
2025-12-13 23:53:23.623281,23,5,1,0,weekend,7.4
2025-12-14 00:53:23.623281,0,6,1,0,weekend,8.02
2025-12-14 01:53:23.623281,1,6,1,0,weekend,7.07
2025-12-14 02:53:23.623281,2,6,1,0,weekend,8.03
2025-12-14 03:53:23.623281,3,6,1,0,weekend,7.83
2025-12-14 04:53:23.623281,4,6,1,0,weekend,8.51
2025-12-14 05:53:23.623281,5,6,1,0,weekend,6.75
2025-12-14 06:53:23.623281,6,6,1,0,weekend,30.86
2025-12-14 07:53:23.623281,7,6,1,0,weekend,37.36
2025-12-14 08:53:23.623281,8,6,1,0,weekend,31.35
2025-12-14 09:53:23.623281,9,6,1,0,weekend,31.8
2025-12-14 10:53:23.623281,10,6,1,0,weekend,26.65
2025-12-14 11:53:23.623281,11,6,1,0,weekend,30.88
2025-12-14 12:53:23.623281,12,6,1,0,weekend,28.73
2025-12-14 13:53:23.623281,13,6,1,0,weekend,24.28
2025-12-14 14:53:23.623281,14,6,1,0,weekend,27.5
2025-12-14 15:53:23.623281,15,6,1,0,weekend,29.96
2025-12-14 16:53:23.623281,16,6,1,0,weekend,28.22
2025-12-14 17:53:23.623281,17,6,1,0,weekend,28.29
2025-12-14 18:53:23.623281,18,6,1,0,weekend,42.21
2025-12-14 19:53:23.623281,19,6,1,0,weekend,50.43
2025-12-14 20:53:23.623281,20,6,1,0,weekend,56.41
2025-12-14 21:53:23.623281,21,6,1,0,weekend,46.04
2025-12-14 22:53:23.623281,22,6,1,0,weekend,39.29
2025-12-14 23:53:23.623281,23,6,1,0,weekend,9.72
2025-12-15 00:53:23.623281,0,0,0,0,weekday,6.84
2025-12-15 01:53:23.623281,1,0,0,0,weekday,9.14
2025-12-15 02:53:23.623281,2,0,0,0,weekday,8.15
2025-12-15 03:53:23.623281,3,0,0,0,weekday,8.64
2025-12-15 04:53:23.623281,4,0,0,0,weekday,8.3
2025-12-15 05:53:23.623281,5,0,0,0,weekday,8.13
2025-12-15 06:53:23.623281,6,0,0,0,weekday,21.38
2025-12-15 07:53:23.623281,7,0,0,0,weekday,21.82
2025-12-15 08:53:23.623281,8,0,0,0,weekday,24.06
2025-12-15 09:53:23.623281,9,0,0,0,weekday,25.1
2025-12-15 10:53:23.623281,10,0,0,0,weekday,26.94
2025-12-15 11:53:23.623281,11,0,0,0,weekday,24.38
2025-12-15 12:53:23.623281,12,0,0,0,weekday,21.8
2025-12-15 13:53:23.623281,13,0,0,0,weekday,23.51
2025-12-15 14:53:23.623281,14,0,0,0,weekday,26.08
2025-12-15 15:53:23.623281,15,0,0,0,weekday,25.92
2025-12-15 16:53:23.623281,16,0,0,0,weekday,23.52
2025-12-15 17:53:23.623281,17,0,0,0,weekday,23.51
2025-12-15 18:53:23.623281,18,0,0,0,weekday,39.45
2025-12-15 19:53:23.623281,19,0,0,0,weekday,51.08
2025-12-15 20:53:23.623281,20,0,0,0,weekday,52.86
2025-12-15 21:53:23.623281,21,0,0,0,weekday,47.54
2025-12-15 22:53:23.623281,22,0,0,0,weekday,40.4
2025-12-15 23:53:23.623281,23,0,0,0,weekday,7.59
2025-12-16 00:53:23.623281,0,1,0,0,weekday,6.06
2025-12-16 01:53:23.623281,1,1,0,0,weekday,6.72
2025-12-16 02:53:23.623281,2,1,0,0,weekday,7.03
2025-12-16 03:53:23.623281,3,1,0,0,weekday,9.37
2025-12-16 04:53:23.623281,4,1,0,0,weekday,7.76
2025-12-16 05:53:23.623281,5,1,0,0,weekday,6.1
2025-12-16 06:53:23.623281,6,1,0,0,weekday,23.25
2025-12-16 07:53:23.623281,7,1,0,0,weekday,24.57
2025-12-16 08:53:23.623281,8,1,0,0,weekday,21.99
2025-12-16 09:53:23.623281,9,1,0,0,weekday,22.1
2025-12-16 10:53:23.623281,10,1,0,0,weekday,24.81
2025-12-16 11:53:23.623281,11,1,0,0,weekday,21.39
2025-12-16 12:53:23.623281,12,1,0,0,weekday,25.6
2025-12-16 13:53:23.623281,13,1,0,0,weekday,26.59
2025-12-16 14:53:23.623281,14,1,0,0,weekday,25.21
2025-12-16 15:53:23.623281,15,1,0,0,weekday,26.78
2025-12-16 16:53:23.623281,16,1,0,0,weekday,26.92
2025-12-16 17:53:23.623281,17,1,0,0,weekday,26.39
2025-12-16 18:53:23.623281,18,1,0,0,weekday,41.98
2025-12-16 19:53:23.623281,19,1,0,0,weekday,48.94
2025-12-16 20:53:23.623281,20,1,0,0,weekday,51.49
2025-12-16 21:53:23.623281,21,1,0,0,weekday,48.83
2025-12-16 22:53:23.623281,22,1,0,0,weekday,40.85
2025-12-16 23:53:23.623281,23,1,0,0,weekday,8.94
2025-12-17 00:53:23.623281,0,2,0,0,weekday,7.83
2025-12-17 01:53:23.623281,1,2,0,0,weekday,8.26
2025-12-17 02:53:23.623281,2,2,0,0,weekday,6.64
2025-12-17 03:53:23.623281,3,2,0,0,weekday,7.21
2025-12-17 04:53:23.623281,4,2,0,0,weekday,7.47
2025-12-17 05:53:23.623281,5,2,0,0,weekday,9.9
2025-12-17 06:53:23.623281,6,2,0,0,weekday,23.9
2025-12-17 07:53:23.623281,7,2,0,0,weekday,25.78
2025-12-17 08:53:23.623281,8,2,0,0,weekday,23.58
2025-12-17 09:53:23.623281,9,2,0,0,weekday,26.15
2025-12-17 10:53:23.623281,10,2,0,0,weekday,27.66
2025-12-17 11:53:23.623281,11,2,0,0,weekday,23.65
2025-12-17 12:53:23.623281,12,2,0,0,weekday,23.73
2025-12-17 13:53:23.623281,13,2,0,0,weekday,23.57
2025-12-17 14:53:23.623281,14,2,0,0,weekday,25.73
2025-12-17 15:53:23.623281,15,2,0,0,weekday,24.97
2025-12-17 16:53:23.623281,16,2,0,0,weekday,24.98
2025-12-17 17:53:23.623281,17,2,0,0,weekday,26.44
2025-12-17 18:53:23.623281,18,2,0,0,weekday,41.44
2025-12-17 19:53:23.623281,19,2,0,0,weekday,48.75
2025-12-17 20:53:23.623281,20,2,0,0,weekday,54.67
2025-12-17 21:53:23.623281,21,2,0,0,weekday,46.23
2025-12-17 22:53:23.623281,22,2,0,0,weekday,39.35
2025-12-17 23:53:23.623281,23,2,0,0,weekday,9.23
2025-12-18 00:53:23.623281,0,3,0,0,weekday,9.36
2025-12-18 01:53:23.623281,1,3,0,0,weekday,8.65
2025-12-18 02:53:23.623281,2,3,0,0,weekday,7.24
2025-12-18 03:53:23.623281,3,3,0,0,weekday,7.07
2025-12-18 04:53:23.623281,4,3,0,0,weekday,8.15
2025-12-18 05:53:23.623281,5,3,0,0,weekday,7.19
2025-12-18 06:53:23.623281,6,3,0,0,weekday,24.05
2025-12-18 07:53:23.623281,7,3,0,0,weekday,30.43
2025-12-18 08:53:23.623281,8,3,0,0,weekday,29.54
2025-12-18 09:53:23.623281,9,3,0,0,weekday,23.14
2025-12-18 10:53:23.623281,10,3,0,0,weekday,23.58
2025-12-18 11:53:23.623281,11,3,0,0,weekday,25.02
2025-12-18 12:53:23.623281,12,3,0,0,weekday,22.87
2025-12-18 13:53:23.623281,13,3,0,0,weekday,21.03
